Transaction Date,Merchant,Amount,Category,Posted Date,Status
2026-03-01,AMAZON PRIME,-99.99,Shopping,2026-03-01,Posted
2026-03-02,STARBUCKS COFFEE,-5.75,Dining,2026-03-02,Posted
2026-03-03,WHOLE FOODS MARKET,-85.32,Groceries,2026-03-03,Posted
2026-03-05,GAS STATION SHELL,-52.00,Gas,2026-03-05,Posted
2026-03-06,NETFLIX SUBSCRIPTION,-15.99,Entertainment,2026-03-06,Posted
2026-03-08,TRADER JOES,-64.50,Groceries,2026-03-08,Posted
2026-03-10,HOTEL MARRIOTT,-385.00,Travel,2026-03-11,Posted
2026-03-12,UNITED AIRLINES,-450.00,Travel,2026-03-12,Posted
2026-03-14,MOVIE THEATER,-18.00,Entertainment,2026-03-14,Posted
2026-03-15,DOCTOR VISIT,-150.00,Healthcare,2026-03-15,Posted
2026-03-18,UBER RIDES,-42.30,Transportation,2026-03-18,Posted
2026-03-20,WHOLE FOODS MARKET,-78.15,Groceries,2026-03-20,Posted
2026-03-22,DENTIST APPOINTMENT,-200.00,Healthcare,2026-03-22,Posted
2026-03-25,TARGET,-125.40,Shopping,2026-03-25,Posted
2026-03-28,SPOTIFY FAMILY,-15.99,Entertainment,2026-03-28,Posted
